1787367987995979374,1582633059525555,connecting to 127.0.0.1:2031
1787367987996012737,1582633059557742,turning ON GNB_MAC_UL_MCS_DECISION
1787367987996015444,1582633059560380,time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
1787367990273827045,1582635337371971,20:06:30.273099,13,172,12,172,18,504,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367990273828691,1582635337373646,20:06:30.273445,13,172,13,172,19,504,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367990276896958,1582635340441935,20:06:30.276305,13,173,1,173,7,504,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367990276900878,1582635340445791,20:06:30.276497,13,173,2,173,8,504,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367990276902331,1582635340447256,20:06:30.276815,13,173,3,173,9,504,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367990343506473,1582635407052038,20:06:30.342468,13,183,2,183,8,504,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367990365868868,1582635429413924,20:06:30.365435,13,186,11,186,17,504,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367990369075675,1582635432620683,20:06:30.368650,13,187,1,187,7,504,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367990373178982,1582635436723957,20:06:30.371985,13,187,11,187,17,504,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367990373182443,1582635436727362,20:06:30.372324,13,187,12,187,18,504,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367990373183808,1582635436728725,20:06:30.372684,13,187,13,187,19,504,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
1787367990376668869,1582635440214119,20:06:30.375184,13,188,1,188,7,504,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367990376709530,1582635440254500,20:06:30.375511,13,188,2,188,8,504,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367990376712354,1582635440257286,20:06:30.375885,13,188,3,188,9,504,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367990440934507,1582635504479855,20:06:30.440452,13,198,2,198,8,504,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367990463992016,1582635527537342,20:06:30.463177,13,201,11,201,17,504,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367990467075206,1582635530620323,20:06:30.466470,13,202,1,202,7,504,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367990470271365,1582635533816371,20:06:30.469836,13,202,11,202,17,504,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367990471342009,1582635534886991,20:06:30.470299,13,202,12,202,18,504,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367990471344068,1582635534888989,20:06:30.470681,13,202,13,202,19,504,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367990473447731,1582635536992651,20:06:30.473177,13,203,1,203,7,504,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367990474749583,1582635538294892,20:06:30.473767,13,203,2,203,8,504,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367990474760736,1582635538305698,20:06:30.474460,13,203,3,203,9,504,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367990541313186,1582635604859316,20:06:30.540320,13,213,2,213,8,504,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367990563332662,1582635626878469,20:06:30.563046,13,216,11,216,17,504,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367990566716408,1582635630261421,20:06:30.566269,13,217,1,217,7,504,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367990570831113,1582635634376140,20:06:30.569612,13,217,11,217,17,504,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367990570839826,1582635634384755,20:06:30.569905,13,217,12,217,18,504,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367990570841527,1582635634386460,20:06:30.570246,13,217,13,217,19,504,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
1787367990572929510,1582635636474584,20:06:30.572797,13,218,1,218,7,504,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367990573941574,1582635637486675,20:06:30.573433,13,218,2,218,8,504,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367990573946165,1582635637491161,20:06:30.573802,13,218,3,218,9,504,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367990639791990,1582635703337724,20:06:30.638939,13,228,2,228,8,504,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367990666506915,1582635730052461,20:06:30.665528,13,231,11,231,17,504,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367990669183257,1582635732728351,20:06:30.668641,13,232,1,232,7,504,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367990672219673,1582635735764814,20:06:30.671801,13,232,11,232,17,504,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
