scope,fixed_factor,fixed_value,compared_factor,item_a,item_b,metric,q0,q1,delta_at_q0,delta_at_q1,interval_role
within_quantizer_family,quantizer,uint6,family,ae32,ae64,veh_precision,0.9,0.98,0.0010922651269096861,-0.0060253570766993225,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,ae32,ae64,veh_recall,0.9,0.98,0.0033288948069241098,-0.007323568575233086,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,ae32,ae64,xy_mae_m,0.3,0.5,0.001743110561846617,-0.01680559635083645,in_distribution
within_quantizer_family,quantizer,uint6,family,ae32,ae64,xy_mae_m,0.7,0.9,-0.015248922419341837,0.009507627758744586,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,ae32,ae64,xy_mae_m,0.9,0.98,0.009507627758744586,-0.01150547470112695,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,ae32,ae64,miou,0.7,0.9,-0.015015600886135294,0.005392974222742319,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,ae32,ae64,miou,0.9,0.98,0.005392974222742319,-0.004192939252879446,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,ae32,ae128,veh_recall,0.0,0.3,0.0,0.0006657789613848664,in_distribution
within_quantizer_family,quantizer,uint6,family,ae32,ae128,veh_recall,0.3,0.5,0.0006657789613848664,-0.0026631158455392434,in_distribution
within_quantizer_family,quantizer,uint6,family,ae32,ae128,veh_recall,0.7,0.9,-0.0033288948069241098,0.0026631158455392434,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,ae32,ae128,ped_precision,0.0,0.3,0.0011934598400763496,-0.004398464510341982,in_distribution
within_quantizer_family,quantizer,uint6,family,ae32,ae128,ped_precision,0.7,0.9,-0.001044889723599729,0.009022756786490005,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,ae32,ae128,xy_mae_m,0.0,0.3,0.0007786622909151664,-0.0035722807000512224,in_distribution
within_quantizer_family,quantizer,uint6,family,ae64,ae128,veh_recall,0.9,0.98,-0.0006657789613848664,0.043275632490013316,extrapolation_reference
within_quantizer_family,quantizer,uint6,family,ae64,ae128,ped_recall,0.9,0.98,-0.03081827842720508,0.0031880977683315104,extrapolation_reference
within_quantizer_family,quantizer,uint4,family,noae,ae32,ped_precision,0.9,0.98,-0.003369990016219071,0.009638546815052718,extrapolation_reference
within_quantizer_family,quantizer,uint4,family,noae,ae32,miou,0.0,0.3,0.01671097005939881,-0.0096895741519063,in_distribution
within_quantizer_family,quantizer,uint4,family,noae,ae32,miou,0.7,0.9,-0.04371275649695361,0.09399275201079532,extrapolation_reference
within_quantizer_family,quantizer,uint4,family,noae,ae64,miou,0.0,0.3,0.014182765201827596,-0.021012866948637132,in_distribution
within_quantizer_family,quantizer,uint4,family,noae,ae64,miou,0.7,0.9,-0.06115076669435393,0.04831131814967071,extrapolation_reference
within_quantizer_family,quantizer,uint4,family,noae,ae128,ped_precision,0.7,0.9,-0.007700848247990333,0.011372759831607682,extrapolation_reference
within_quantizer_family,quantizer,uint4,family,noae,ae128,miou,0.3,0.5,0.03145796614180407,-0.0029442097002481127,in_distribution
within_quantizer_family,quantizer,uint4,family,noae,ae128,miou,0.5,0.7,-0.0029442097002481127,0.04324512042826756,in_distribution
within_quantizer_family,quantizer,uint4,family,ae32,ae64,veh_precision,0.7,0.9,-0.00016812800483739787,0.0014818904883980855,extrapolation_reference
within_quantizer_family,quantizer,uint4,family,ae32,ae64,veh_precision,0.9,0.98,0.0014818904883980855,-0.0031239811933341244,extrapolation_reference
within_quantizer_family,quantizer,uint4,family,ae32,ae64,veh_recall,0.9,0.98,0.007989347536617841,-0.005992010652463353,extrapolation_reference
within_quantizer_family,quantizer,uint4,family,ae32,ae64,ped_precision,0.0,0.3,0.0006565849769141208,-0.005385936282151227,in_distribution
within_quantizer_family,quantizer,uint4,family,ae32,ae64,xy_mae_m,0.7,0.9,-0.010679380140152128,0.017442839225090268,extrapolation_reference
within_quantizer_family,quantizer,uint4,family,ae32,ae64,xy_mae_m,0.9,0.98,0.017442839225090268,-0.007166107152676959,extrapolation_reference
within_quantizer_family,quantizer,uint4,family,ae32,ae128,veh_precision,0.0,0.3,0.001834453472792541,-0.0014792353952181037,in_distribution
within_quantizer_family,quantizer,uint4,family,ae32,ae128,veh_precision,0.3,0.5,-0.0014792353952181037,0.007330318756768706,in_distribution
within_quantizer_family,quantizer,uint4,family,ae32,ae128,veh_recall,0.0,0.3,0.003994673768308976,0.0,in_distribution
within_quantizer_family,quantizer,uint4,family,ae32,ae128,veh_recall,0.3,0.5,0.0,-0.003994673768308865,in_distribution
within_quantizer_family,quantizer,uint4,family,ae32,ae128,veh_recall,0.7,0.9,-0.0066577896138482195,0.0033288948069241098,extrapolation_reference
within_quantizer_family,quantizer,uint4,family,ae32,ae128,ped_precision,0.0,0.3,0.001558109557806775,-0.005653487652014233,in_distribution
within_quantizer_family,quantizer,uint4,family,ae32,ae128,ped_precision,0.5,0.7,-0.00047092394345182864,0.00014795603094897025,in_distribution
within_quantizer_family,quantizer,uint4,family,ae32,ae128,fp_per_frame,0.0,0.3,-0.017371601208459042,0.0030211480362536403,in_distribution
within_quantizer_family,quantizer,uint4,family,ae32,ae128,fp_per_frame,0.3,0.5,0.0030211480362536403,-0.0453172205438066,in_distribution
within_quantizer_family,quantizer,uint4,family,ae64,ae128,veh_precision,0.0,0.3,0.004526997366110619,-0.0003473406501525167,in_distribution
within_quantizer_family,quantizer,uint4,family,ae64,ae128,veh_precision,0.3,0.5,-0.0003473406501525167,0.011572129965430222,in_distribution
