run_label,run_group,window_s,elapsed_s,rows,old_mcs_p50,new_mcs_p50,new_mcs_p95,updated_rows,num_sched_p50,num_sched_p95,bler_after_p50,increase_rows,few_sample_rows,high_bler_rows,hold_rows
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,2,2.5007800000000007,970,21.0,21.0,22.0,45,3.0,60.0,0.0,22,23,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,3,3.423323999999999,881,23.0,23.0,25.0,48,6.5,60.0,0.0,25,23,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,4,4.498873,823,24.0,24.0,24.0,46,6.0,60.0,0.0,24,22,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,5,5.5011980000000005,891,22.0,22.0,25.0,48,2.5,60.0,0.0,23,25,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,6,6.420247000000002,805,24.0,24.0,27.0,48,6.0,60.0,0.0,26,22,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,7,7.510258499999999,782,25.0,25.0,26.0,42,1.0,55.0,0.0,19,23,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,8,8.423165500000001,778,24.0,24.0,26.0,41,4.0,60.0,0.0,21,20,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,9,9.502288,814,24.0,24.0,25.0,47,3.0,60.0,0.0,23,24,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,10,10.4980695,858,23.0,23.0,24.0,46,4.0,60.0,0.0,24,22,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,11,11.500279999999998,897,22.0,22.0,25.0,46,2.0,60.0,0.0,22,24,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,12,12.5079235,944,22.0,22.0,23.0,45,3.0,60.0,0.0,22,23,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,13,13.475029999999999,819,24.0,24.0,25.0,49,5.0,60.0,0.0,25,24,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,14,14.496170999999999,837,23.0,23.0,25.0,47,6.0,60.0,0.0,24,23,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,15,15.500948,853,23.0,23.0,24.0,50,3.0,60.0,0.0,24,26,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,16,16.479196,921,22.0,22.0,23.0,46,4.0,60.0,0.0,23,23,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,17,17.426764,837,23.0,23.0,25.0,43,7.0,60.0,0.0,23,20,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,18,18.50267,806,24.0,24.0,25.0,46,1.0,56.75,0.0,22,24,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,19,19.507233,966,21.0,21.0,23.0,45,2.0,59.8,0.0,22,23,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,20,20.501632999999998,955,22.0,22.0,22.0,46,6.0,60.0,0.0,24,22,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,21,21.503345,856,23.0,23.0,24.0,46,1.5,60.0,0.0,22,24,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,22,22.421260999999998,868,23.0,23.0,25.0,45,5.0,60.0,0.0,24,21,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,23,23.498341999999997,810,24.0,24.0,25.0,44,4.5,59.550000000000004,0.0,22,22,0,0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,24,24.499590499999996,782,25.0,25.0,25.0,46,2.5,60.0,0.0,22,24,0,0
