seq,send_monotonic_ns,send_wall_ns,send_ok,acked,ack_monotonic_ns,ack_source_expected,ack_latency_ms
344,1665120860781984,1787450475797237496,1,1,1665120883017711,1,22.2357
345,1665120960776308,1787450475897231997,1,1,1665120975464706,1,14.6884
346,1665121060777626,1787450475997233053,1,1,1665121084806228,1,24.0286
347,1665121160776525,1787450476097231966,1,1,1665121195551415,1,34.7749
348,1665121260781150,1787450476197236559,1,1,1665121285742453,1,24.9613
349,1665121360781157,1787450476297236848,1,1,1665121379049622,1,18.2685
350,1665121460778430,1787450476397234051,1,1,1665121475183578,1,14.4051
351,1665121560776796,1787450476497232295,1,1,1665121573259763,1,12.4830
352,1665121660776868,1787450476597232687,1,1,1665121675218496,1,14.4416
353,1665121760777831,1787450476697233431,1,1,1665121773217326,1,12.4395
354,1665121860781005,1787450476797236367,1,1,1665121875493185,1,14.7122
355,1665121960875712,1787450476897331430,1,1,1665121986116905,1,25.2412
356,1665122060902618,1787450476997358777,1,1,1665122085499502,1,24.5969
357,1665122160786785,1787450477097242836,1,1,1665122198665899,1,37.8791
358,1665122260775980,1787450477197231390,1,1,1665122316316882,1,55.5409
359,1665122360783853,1787450477297239594,1,1,1665122394750255,1,33.9664
360,1665122460786147,1787450477397241975,1,1,1665122483600885,1,22.8147
361,1665122560786653,1787450477497242417,1,1,1665122580021220,1,19.2346
362,1665122660786425,1787450477597242230,1,1,1665122675592827,1,14.8064
363,1665122760783635,1787450477697239296,1,1,1665122797421879,1,36.6382
364,1665122860785479,1787450477797240891,1,1,1665122883392063,1,22.6066
365,1665122960783560,1787450477897239214,1,1,1665122975765649,1,14.9821
366,1665123060782943,1787450477997238504,1,1,1665123085395469,1,24.6125
367,1665123160783347,1787450478097238990,1,1,1665123187177994,1,26.3946
368,1665123260876053,1787450478197331582,1,1,1665123359097237,1,98.2212
369,1665123360931986,1787450478297387656,1,1,1665123380791032,1,19.8590
370,1665123460906792,1787450478397362564,1,1,1665123475797529,1,14.8907
371,1665123560859557,1787450478497315349,1,1,1665123584688208,1,23.8287
372,1665123660775356,1787450478597231089,1,1,1665123679076988,1,18.3016
373,1665123760776549,1787450478697232043,1,1,1665123773723157,1,12.9466
374,1665123860775408,1787450478797230888,1,1,1665123883744097,1,22.9687
375,1665123960777707,1787450478897233207,1,1,1665123979034075,1,18.2564
376,1665124060786402,1787450478997242093,1,1,1665124075038401,1,14.2520
377,1665124160781278,1787450479097236870,1,1,1665124185044013,1,24.2627
378,1665124260781384,1787450479197237046,1,1,1665124280906641,1,20.1253
379,1665124360777515,1787450479297233173,1,1,1665124398663123,1,37.8856
380,1665124460783012,1787450479397238937,1,1,1665124482690236,1,21.9072
381,1665124560776562,1787450479497232360,1,1,1665124573584304,1,12.8077
382,1665124660778301,1787450479597233995,1,1,1665124682458806,1,21.6805
383,1665124760777898,1787450479697233565,1,1,1665124782274121,1,21.4962
384,1665124860777532,1787450479797233520,1,1,1665124881330973,1,20.5534
385,1665124960779541,1787450479897235053,1,1,1665124972675213,1,11.8957
386,1665125060786588,1787450479997242453,1,1,1665125081174790,1,20.3882
387,1665125161869108,1787450480098324599,1,1,1665125185549080,1,23.6800
388,1665125261014576,1787450480197470283,1,1,1665125319539624,1,58.5250
389,1665125360777404,1787450480297233274,1,1,1665125384392744,1,23.6153
